latitude_index,longitude_index,PM2.5,PM10
52.3947,13.0407,8.351643332311365,12.503278876799072
52.3947,13.04055,13.506571514019358,15.77799803108789
52.39485,13.04055,6.42393204673308,15.371212057078715
52.39485,13.0404,4.199951144018856,12.509441286001334
52.39485,13.04025,4.962927214466682,12.654493063493817
52.39485,13.0401,3.423102015345338,10.273762554553173
52.39485,13.03995,2.9482050002890356,11.372729873644971
52.39485,13.0398,7.5441178128257675,17.701982383180166
52.3947,13.03965,3.5077647467473216,11.43047535186065
52.3947,13.0395,14.212864140056091,17.52999263279753
52.3947,13.03935,18.44147432709118,19.37078879879914
52.3947,13.0392,15.94493801724528,18.810075849010786
52.39455,13.0392,20.72414531128907,20.266778449346475
52.39455,13.03905,3.959235885228976,11.358049402325776
52.3944,13.03905,8.013398697063622,17.25341015415978
52.3944,13.0389,3.5188850192287595,11.50190933929889
52.3944,13.03875,8.200007652143812,14.80926564488908
52.39425,13.03875,2.473779563671793,9.870827233158536
52.39425,13.0386,6.891144630119131,15.419378086653168
52.39425,13.03845,5.369568215953459,12.009353109916773
52.39425,13.0383,10.465451494260288,14.260131106323001
52.3941,13.0383,4.28607109590482,11.589752392431365
52.3941,13.03815,6.748885458791294,15.366557734453863
52.39395,13.03815,3.175651581899854,10.648538520405452
52.39395,13.038,4.999122336819883,12.354247515111524
52.39395,13.03785,14.052429952121646,15.087895251582438
52.3938,13.03785,4.084489737994518,12.28194450509352
52.3938,13.0377,11.799139650461814,14.24370469990231
52.39365,13.03755,4.353224354687308,11.744983375463832
52.39365,13.0374,11.47517161762395,13.879912949906327
52.3935,13.03725,5.995120545697777,13.534254925949597
52.3935,13.0371,3.7358291481776313,9.525905424853192
52.3935,13.03695,4.980059567649139,13.349327308095496
52.3935,13.0368,24.05088848884602,24.05529139750331
52.39335,13.0368,11.671704977385959,14.651899096948313
52.39335,13.03665,3.8855042919001415,10.094720727685797
52.3932,13.03665,11.968831842252415,14.322702597242284
52.3932,13.0365,9.750120603052713,13.218826453803104
52.39305,13.0365,6.486895079704486,16.46842790365031
52.39305,13.03635,8.554764719171672,14.530763467439925
52.3929,13.03635,3.153530305000345,13.034588464166859
52.3929,13.0362,9.87476506479188,14.553331448449228
52.3929,13.03605,6.635483648424276,14.088638562591484
52.39275,13.0359,15.670797452185845,16.44533106612903
52.39275,13.03575,6.282244505556563,13.201029233415625
