Date,atmotube_VOC[ppm],atmotube_AQS,atmotube_Temperature[˚C],atmotube_Humidity[%],atmotube_Pressure[hPa],atmotube_PM1[µg/m³],atmotube_PM2.5[µg/m³],atmotube_PM10[µg/m³],atmotube_Latitude,atmotube_Longitude
2022-11-02 17:19:00,0.000,96,10,60,1018.7,3.0,4.0,5.0,,
2022-11-02 17:18:00,0.003,96,9,63,1018.5,3.0,4.0,5.0,,
2022-11-02 17:17:00,0.001,97,10,59,1018.6,3.0,4.0,5.0,,
2022-11-02 17:16:00,0.000,96,10,59,1018.6,3.0,5.0,6.0,,
2022-11-02 17:15:00,0.001,95,10,59,1018.5,3.0,5.0,6.0,,
2022-11-02 17:14:00,0.006,97,10,60,1018.5,2.0,4.0,5.0,,
2022-11-02 17:13:00,0.012,97,10,61,1018.4,2.0,4.0,5.0,,
2022-11-02 17:12:00,0.012,97,10,60,1018.4,2.0,4.0,4.0,,
2022-11-02 17:11:00,0.005,97,10,61,1018.4,2.0,3.0,4.0,,
2022-11-02 17:10:00,0.005,97,10,60,1018.4,2.0,3.0,4.0,,
2022-11-02 17:09:00,0.000,97,10,59,1018.4,2.0,3.0,5.0,,
2022-11-02 17:08:00,0.000,97,10,59,1018.4,2.0,4.0,5.0,,
2022-11-02 17:07:00,0.002,97,10,59,1018.4,2.0,3.0,4.0,,
2022-11-02 17:06:00,0.008,97,10,60,1018.3,2.0,4.0,5.0,,
2022-11-02 17:05:00,0.006,96,10,60,1018.4,3.0,4.0,5.0,,
2022-11-02 17:04:00,0.000,97,10,59,1018.3,2.0,4.0,5.0,,
2022-11-02 17:03:00,0.000,97,10,60,1018.2,2.0,3.0,5.0,,
2022-11-02 17:02:00,0.000,97,10,60,1018.2,2.0,3.0,5.0,,
2022-11-02 17:01:00,0.000,97,10,60,1018.3,2.0,4.0,4.0,,
2022-11-02 17:00:00,0.000,97,10,64,1018.4,2.0,4.0,5.0,,
2022-11-02 16:59:00,0.000,97,10,62,1018.4,2.0,3.0,4.0,,
2022-11-02 16:58:00,0.000,96,10,62,1018.3,3.0,4.0,5.0,,
2022-11-02 16:57:00,0.000,97,10,62,1018.3,2.0,3.0,4.0,,
2022-11-02 16:56:00,0.000,97,10,62,1018.3,2.0,3.0,5.0,,
2022-11-02 16:55:00,0.000,97,10,60,1018.3,2.0,4.0,4.0,,
2022-11-02 16:54:00,0.000,97,10,59,1018.3,2.0,3.0,4.0,,
2022-11-02 16:53:00,0.001,97,10,59,1018.2,2.0,4.0,4.0,,
2022-11-02 16:52:00,0.003,97,10,59,1018.3,2.0,4.0,5.0,,
2022-11-02 16:51:00,0.000,97,10,59,1018.3,2.0,4.0,4.0,,
2022-11-02 16:50:00,0.000,96,10,59,1018.2,2.0,4.0,5.0,,
2022-11-02 16:49:00,0.000,97,10,59,1018.3,2.0,3.0,4.0,,
