LogID,lat,lon,alt,time,SPS_PM1,SPS_PM2.5,SPS_PM10,SPS_nc0.5,SPS_nc1,SPS_nc2.5,SPS_nc4,SPS_nc10,5003_PM1,5003_PM2.5,5003_PM10,5003_nc0.3,5003_nc0.5,5003_nc1,5003_nc2.5,5003_nc5,5003_nc10,7003_PM1,7003_PM2.5,7003_PM10,7003_nc0.3,7003_nc0.5,7003_nc1,7003_nc2.5,7003_nc5,7003_nc10,Temperature,Relative_Humidity,Pressure,CO,NH3,NO2
0,,,,,7.08553147315979,10.60935640335083,14.490862846374512,40.90447044372559,52.86644172668457,56.10323143005371,56.51540565490723,56.57756233215332,12.0,24.0,25.0,1860.0,599.0,150.0,9.0,2.0,0.0,9.5,16.0,19.0,1530.0,426.5,114.0,14.0,5.0,0.0,7.46974609375,49.49745441310125,1009.2319202822514,2464.0,2880.0,8480.0
1,,,,,9.276050567626953,11.214405059814453,12.964607238769533,60.56110000610352,72.2825698852539,73.82994079589844,74.02596282958984,74.06085586547852,12.0,22.0,23.5,1809.0,584.0,144.0,6.0,2.0,0.0,10.0,18.5,21.5,1713.0,477.5,127.5,17.0,4.0,0.0,7.52736328125,49.48050142887824,1009.229740676362,2496.0,3168.0,1888.0
2,,,,2022-12-12T15:18:56.000Z,11.643701553344727,12.935645580291748,13.71137285232544,79.00992965698242,92.04291915893556,92.8376007080078,92.93708038330078,92.9610481262207,12.0,22.0,23.0,1809.0,586.0,142.0,5.5,2.0,0.0,11.0,17.0,20.5,1902.0,529.0,102.5,13.5,4.0,0.0,7.5036328124999985,48.790512598555104,1009.2320440844144,2432.0,3008.0,352.0
3,52.392451666999996,13.036223332999999,,2022-12-12T15:19:45.000Z,11.879627227783205,13.180373668670654,13.950183868408205,80.6563606262207,93.92784881591795,94.72116470336914,94.8204231262207,94.84457397460938,12.0,22.0,23.0,1809.0,588.0,140.0,5.0,2.0,0.0,11.5,16.5,17.0,1878.0,533.0,93.5,5.0,0.0,0.0,7.51095703125,48.51592768603686,1009.24348984149,2464.0,2976.0,288.0
4,52.392453333,13.036223332999999,23.5,2022-12-12T15:19:46.000Z,13.578576564788818,15.000239372253418,15.799059867858887,92.36197280883788,107.43559646606444,108.27688217163086,108.38197708129884,108.40845489501952,12.0,22.0,23.0,1716.0,567.0,138.0,4.0,1.0,0.0,13.0,19.5,23.0,1957.5,557.5,142.5,12.0,5.0,0.0,7.13498046875,49.082214985399425,1009.2079065573917,1216.0,1408.0,2080.0
5,52.392453333,13.036223332999999,23.6,2022-12-12T15:19:49.000Z,13.69806432723999,15.097095966339113,15.85917615890503,93.26683807373048,108.4213638305664,109.2347183227539,109.33622360229492,109.36231994628906,11.5,22.0,23.0,1704.0,564.0,139.0,4.5,1.0,0.0,12.0,18.0,19.5,1873.5,537.0,131.0,9.0,3.0,0.0,6.8294140625,49.1939755045364,1009.1844032656064,1184.0,1536.0,480.0
6,52.392453333,13.036223332999999,23.6,2022-12-12T15:19:52.000Z,14.069116115570068,15.489672660827635,16.25200366973877,95.83615112304688,111.37708282470705,112.19599151611328,112.29814910888672,112.32466506958008,11.0,22.0,23.0,1692.0,561.0,140.0,5.0,1.0,0.0,12.0,18.5,20.5,1872.0,538.5,129.5,10.0,4.0,0.0,6.6708203125,49.23491838871952,1009.1728625793968,1216.0,1600.0,384.0
7,52.392468333000004,13.036276667000001,25.7,2022-12-12T15:19:55.000Z,14.10912799835205,15.510584354400635,16.246267318725586,96.16935348510742,111.7204132080078,112.51838302612305,112.61785125732422,112.64404678344728,12.0,23.0,23.0,1755.0,582.0,138.0,7.0,1.0,0.0,12.5,17.5,20.5,1902.0,550.5,126.5,8.0,4.0,0.0,6.57892578125,49.196579652142475,1009.1664299392102,2080.0,2368.0,1152.0
8,52.392471666999995,13.036311667,26.8,2022-12-12T15:19:59.000Z,14.016541004180908,15.397797107696533,16.114947319030758,95.5671272277832,110.99991226196288,111.78158187866212,111.87898635864258,111.9048194885254,12.0,23.0,24.5,1794.0,594.5,139.0,9.0,1.0,0.0,12.0,18.0,21.0,1875.0,541.5,132.0,8.5,4.0,0.0,6.52755859375,49.156734780824564,1009.1597032950264,1952.0,2144.0,2176.0
9,52.392476667,13.036358332999999,29.0,2022-12-12T15:20:03.000Z,13.811631202697756,15.169172763824465,15.87145185470581,94.17923736572266,109.38124084472656,110.14794158935548,110.24346923828124,110.26885986328124,12.0,23.0,26.0,1833.0,607.0,140.0,11.0,1.0,0.0,12.0,21.0,24.0,1933.5,559.0,148.5,16.0,3.0,0.0,6.5055859375,49.11709060033425,1009.1584284651848,1152.0,1376.0,9696.0
10,52.39248,13.036406667,27.9,2022-12-12T15:20:07.000Z,13.56087589263916,14.889577865600586,15.573881149291992,92.4803695678711,107.4001922607422,108.14876174926758,108.24201965332031,108.26687240600586,12.0,24.0,27.0,1812.0,599.0,150.0,16.0,2.0,0.0,12.5,23.0,24.0,1978.5,576.0,151.0,18.0,1.0,0.0,6.45177734375,49.108624395297355,1009.1539343306993,1312.0,1504.0,6048.0
11,52.39248,13.036406667,27.9,2022-12-12T15:20:10.000Z,13.185653686523438,14.46570348739624,15.116271018981935,89.95264434814453,104.44214248657228,105.15804290771484,105.2471923828125,105.27115249633788,12.5,23.5,27.0,1824.0,601.0,146.0,15.5,2.0,0.0,13.5,23.0,25.0,2086.5,593.0,142.0,18.0,2.0,0.0,6.40138671875,49.14936311651309,1009.148101600121,1888.0,2112.0,1952.0
12,52.392493333000004,13.036496667,25.3,2022-12-12T15:20:14.000Z,12.989409446716307,14.23531198501587,14.857400894165039,88.65342330932617,102.9050521850586,103.59511184692384,103.68099594116212,103.70433807373048,13.0,23.0,27.0,1836.0,603.0,142.0,15.0,2.0,0.0,12.0,20.5,22.0,2013.0,553.5,128.0,15.0,2.0,0.0,6.318671875,49.2586254862009,1009.1480768599448,1536.0,2016.0,832.0
13,52.3925,13.036535,23.7,2022-12-12T15:20:17.000Z,12.872618675231935,14.097118854522705,14.700910568237305,87.883056640625,101.99152374267578,102.66511917114258,102.74892044067384,102.7718734741211,13.0,25.0,29.0,1911.0,628.0,156.0,18.0,3.0,1.0,10.5,17.5,20.5,1879.5,493.0,112.5,15.0,2.0,0.0,6.2065625,49.41955693196538,1009.1425280552437,1824.0,1984.0,704.0
14,52.392503333,13.036591667,25.4,2022-12-12T15:20:21.000Z,13.197142601013185,14.439301490783693,15.04185438156128,90.13326263427734,104.57794952392578,105.25524139404295,105.33945846557616,105.36276245117188,13.0,25.0,29.0,1911.0,629.0,155.0,19.0,2.5,1.0,10.5,18.0,20.0,1860.0,489.0,129.0,13.0,2.0,0.0,6.0876171875,49.59719056944404,1009.1370870327361,1664.0,1984.0,736.0
15,52.392491667,13.03665,27.0,2022-12-12T15:20:25.000Z,13.621971607208252,14.896961212158205,15.510005474090574,93.0535011291504,107.95263671875,108.64453125,108.73054122924805,108.75447082519531,13.0,25.0,29.0,1911.0,630.0,154.0,20.0,2.0,1.0,11.0,18.0,22.5,1864.5,503.5,142.5,14.0,4.0,2.0,5.9270703125,49.738940378684035,1009.1298225874074,1792.0,2176.0,448.0
