Date,atmotube_VOC[ppm],atmotube_AQS,atmotube_Temperature[˚C],atmotube_Humidity[%],atmotube_Pressure[hPa],atmotube_PM1[µg/m³],atmotube_PM2.5[µg/m³],atmotube_PM10[µg/m³],atmotube_Latitude,atmotube_Longitude
2022-10-27 17:11:00,0.118,92,16,76,1022.3,3.0,5.0,6.0,,
2022-10-27 17:10:00,0.124,92,16,76,1022.2,3.0,4.0,5.0,,
2022-10-27 17:09:00,0.135,91,16,76,1022.2,4.0,5.0,6.0,,
2022-10-27 17:08:00,0.139,91,17,72,1022.3,4.0,6.0,6.0,,
2022-10-27 17:07:00,0.146,91,17,72,1022.3,3.0,4.0,6.0,,
2022-10-27 17:06:00,0.150,91,17,72,1022.3,5.0,6.0,7.0,,
2022-10-27 17:05:00,0.144,91,17,72,1022.3,3.0,5.0,6.0,,
2022-10-27 17:04:00,0.138,91,17,71,1022.4,5.0,7.0,8.0,,
2022-10-27 17:03:00,0.131,92,17,71,1022.4,3.0,4.0,5.0,,
2022-10-27 17:02:00,0.132,92,17,71,1022.3,4.0,5.0,6.0,,
2022-10-27 17:01:00,0.134,91,17,71,1022.4,4.0,5.0,6.0,,
2022-10-27 17:00:00,0.129,92,17,71,1022.4,4.0,5.0,6.0,,
2022-10-27 16:59:00,0.135,91,17,72,1022.5,4.0,6.0,7.0,,
2022-10-27 16:58:00,0.138,91,17,71,1022.4,3.0,4.0,5.0,,
2022-10-27 16:57:00,0.134,91,17,71,1022.4,6.0,8.0,9.0,,
2022-10-27 16:56:00,0.131,92,17,71,1022.4,3.0,5.0,6.0,,
2022-10-27 16:55:00,0.136,91,17,72,1022.4,6.0,8.0,10.0,,
2022-10-27 16:54:00,0.139,0,17,72,1022.4,132.0,142.0,143.0,,
2022-10-27 16:53:00,0.143,91,17,72,1022.4,5.0,6.0,7.0,,
2022-10-27 16:52:00,0.147,91,17,72,1022.5,3.0,4.0,5.0,,
2022-10-27 16:51:00,0.153,90,17,71,1022.4,3.0,4.0,5.0,,
2022-10-27 16:50:00,0.153,90,17,71,1022.5,3.0,4.0,5.0,,
2022-10-27 16:49:00,0.143,91,18,68,1022.4,4.0,5.0,6.0,,
2022-10-27 16:48:00,0.143,91,18,67,1022.4,3.0,4.0,5.0,,
2022-10-27 16:47:00,0.142,91,18,67,1022.3,3.0,4.0,5.0,,
2022-10-27 16:46:00,0.149,91,18,68,1022.3,3.0,5.0,5.0,,
2022-10-27 16:45:00,0.145,91,18,67,1022.3,2.0,3.0,5.0,,
2022-10-27 16:44:00,0.149,91,19,64,1022.3,3.0,4.0,6.0,,
2022-10-27 16:43:00,0.150,91,19,63,1022.3,2.0,4.0,5.0,,
2022-10-27 16:42:00,0.152,90,19,64,1022.4,3.0,4.0,5.0,,
2022-10-27 16:41:00,0.143,91,19,63,1022.4,3.0,4.0,5.0,,
2022-10-27 16:40:00,0.147,91,19,64,1022.4,2.0,4.0,5.0,,
2022-10-27 16:39:00,0.148,91,20,60,1022.5,3.0,4.0,5.0,,
2022-10-27 16:38:00,0.156,90,20,60,1022.5,3.0,4.0,5.0,,
2022-10-27 16:37:00,0.157,90,20,60,1022.4,3.0,4.0,5.0,,
2022-10-27 16:36:00,0.167,89,19,63,1022.4,2.0,4.0,4.0,,
2022-10-27 16:35:00,0.181,89,20,59,1022.4,3.0,4.0,5.0,,
2022-10-27 16:34:00,0.189,88,20,61,1022.3,2.0,4.0,5.0,,
2022-10-27 16:33:00,0.198,88,20,61,1022.4,3.0,4.0,5.0,,
2022-10-27 16:32:00,0.215,87,21,57,1022.4,3.0,4.0,5.0,,
2022-10-27 16:31:00,0.229,86,21,57,1022.4,2.0,4.0,5.0,,
2022-10-27 16:30:00,0.270,83,21,58,1022.4,2.0,4.0,5.0,,
2022-10-27 16:29:00,0.318,80,21,60,1022.42,3.0,5.0,6.0,,
2022-10-27 16:28:00,0.598,68,21,56,1022.46,2.0,3.0,4.0,,
2022-10-27 16:27:00,0.614,68,21,56,1022.39,2.0,3.0,4.0,,
2022-10-27 16:26:00,0.630,67,21,59,1022.47,2.0,3.0,4.0,,
2022-10-27 16:25:00,0.646,67,21,62,1022.45,2.0,3.0,4.0,,
2022-10-27 16:24:00,0.663,67,21,63,1022.4,2.0,3.0,4.0,,
2022-10-27 16:23:00,0.683,66,21,61,1022.44,2.0,3.0,4.0,,
2022-10-27 16:22:00,0.707,66,20,63,1022.42,2.0,3.0,4.0,,
2022-10-27 16:21:00,0.733,65,20,60,1022.46,2.0,3.0,4.0,,
2022-10-27 16:20:00,0.762,65,20,59,1022.45,2.0,3.0,4.0,,
2022-10-27 16:19:00,0.794,64,20,59,1022.52,2.0,3.0,4.0,,
2022-10-27 16:18:00,0.827,64,20,59,1022.49,2.0,3.0,4.0,,
2022-10-27 16:17:00,0.861,63,20,60,1022.44,2.0,3.0,4.0,,
2022-10-27 16:16:00,0.896,63,20,59,1022.45,2.0,3.0,4.0,,
2022-10-27 16:15:00,0.933,62,19,61,1022.4,3.0,5.0,7.0,,
2022-10-27 16:14:00,0.971,61,19,62,1022.39,4.0,5.0,7.0,,
2022-10-27 16:13:00,1.011,61,19,63,1021.53,4.0,5.0,7.0,,
2022-10-27 16:12:00,1.052,60,19,63,1020.88,4.0,5.0,7.0,,
2022-10-27 16:11:00,1.095,59,19,63,1020.66,4.0,5.0,7.0,,
2022-10-27 16:10:00,1.139,58,19,64,1020.53,4.0,5.0,7.0,,
2022-10-27 16:09:00,1.183,58,20,61,1021.15,4.0,5.0,7.0,,
2022-10-27 16:08:00,1.229,57,20,59,1021.52,4.0,5.0,7.0,,
2022-10-27 16:07:00,1.275,56,20,60,1021.8,4.0,5.0,7.0,,
2022-10-27 16:06:00,1.308,55,20,61,1021.84,4.0,5.0,7.0,,
2022-10-27 16:05:00,1.326,55,20,65,1021.44,4.0,5.0,7.0,,
2022-10-27 16:04:00,1.329,55,20,66,1021.41,4.0,5.0,7.0,,
2022-10-27 16:03:00,1.329,55,20,68,1021.41,4.0,5.0,7.0,,
2022-10-27 16:02:00,1.329,55,20,68,1021.42,4.0,5.0,7.0,,
2022-10-27 16:01:00,1.334,55,20,68,1021.43,4.0,5.0,7.0,,
2022-10-27 16:00:00,1.344,55,20,68,1021.43,4.0,5.0,6.0,,
