LogID,lat,lon,alt,time,SPS_PM1,SPS_PM2.5,SPS_PM10,SPS_nc0.5,SPS_nc1,SPS_nc2.5,SPS_nc4,SPS_nc10,5003_PM1,5003_PM2.5,5003_PM10,5003_nc0.3,5003_nc0.5,5003_nc1,5003_nc2.5,5003_nc5,5003_nc10,7003_PM1,7003_PM2.5,7003_PM10,7003_nc0.3,7003_nc0.5,7003_nc1,7003_nc2.5,7003_nc5,7003_nc10,CO,NH3,NO2
0,,,,,2.933087706565857,5.031840801239014,7.435727119445801,15.255013942718506,21.1491641998291,23.13273811340332,23.38556957244873,23.422420501708984,3.0,4.0,7.0,507.0,165.0,33.0,5.0,5.0,2.0,3.0,3.0,4.0,624.0,169.5,18.0,2.0,0.0,0.0,704.0,480.0,1760.0
1,,,,,2.8831816911697388,4.0242124795913705,5.2389233112335205,17.4120512008667,21.84830379486084,22.870872497558594,23.00097370147705,23.02117729187012,3.0,4.0,7.0,537.0,175.0,38.0,5.0,5.0,2.0,3.0,3.0,3.5,612.0,160.0,12.0,2.0,0.0,0.0,704.0,544.0,384.0
2,52.393735,13.038373333,278.4,2022-12-07T15:08:47.000Z,3.2331831455230717,3.815229177474976,4.3087317943573,21.353923797607425,25.301682472229004,25.74691963195801,25.80322551727295,25.81376075744629,3.0,4.5,7.5,562.5,183.5,39.0,6.0,5.0,1.5,3.0,3.5,3.5,676.5,183.0,10.0,0.0,0.0,0.0,576.0,512.0,224.0
3,52.393735,13.038373333,,2022-12-07T15:09:33.000Z,3.2841154336929317,3.8541958332061768,4.329153299331665,21.745704650878906,25.72453498840332,26.155531883239746,26.210007667541504,26.2203426361084,3.0,5.0,8.0,588.0,192.0,40.0,7.0,5.0,1.0,3.0,4.0,4.0,678.0,189.5,12.0,0.0,0.0,0.0,576.0,512.0,224.0
4,52.393735,13.038373333,,2022-12-07T15:09:36.000Z,2.4358089764912925,2.717007637023926,2.8928981622060137,16.499865849812824,19.242401758829754,19.41963768005371,19.441852569580078,19.44705645243327,3.0,5.0,8.0,594.0,190.0,40.0,8.0,5.0,1.0,2.6666666666666665,3.333333333333333,3.333333333333333,634.0,163.66666666666666,24.66666666666667,0.0,0.0,0.0,512.0,554.6666666666666,234.66666666666663
5,52.394016666999995,13.037738333,246.5,2022-12-07T15:09:38.000Z,2.5955543518066406,2.903059244155884,3.1002804040908813,17.561345100402832,20.495325088500977,20.69209384918213,20.71677589416504,20.72245693206787,3.0,5.0,6.0,588.0,187.0,30.0,5.0,2.0,0.0,2.5,2.5,2.5,642.0,172.5,21.0,0.0,0.0,0.0,480.0,512.0,256.0
6,52.394016666999995,13.037738333,246.5,2022-12-07T15:09:41.000Z,2.610432744026184,2.919581770896912,3.117784857749939,17.662324905395508,20.61294651031494,20.81072330474853,20.83553123474121,20.8412446975708,3.0,5.0,6.0,610.5,195.0,31.5,5.0,2.0,0.0,2.0,2.0,2.0,642.0,169.5,18.0,0.0,0.0,0.0,512.0,544.0,192.0
7,52.394016666999995,13.037738333,246.5,2022-12-07T15:09:45.000Z,2.506190061569214,2.8027422428131104,2.9927185773849487,16.957670211791992,19.79009437561035,19.979722023010254,20.00350570678711,20.008986473083496,3.0,5.0,6.0,633.0,203.0,33.0,5.0,2.0,0.0,3.0,3.0,4.5,715.5,189.0,21.0,2.0,2.0,0.0,512.0,480.0,256.0
8,52.394016666999995,13.037738333,246.5,2022-12-07T15:09:48.000Z,2.439692974090576,2.6538491249084477,2.74596643447876,16.703069686889652,19.35060310363769,19.460247039794922,19.473828315734863,19.477867126464844,3.0,6.0,8.0,714.0,230.0,36.0,6.0,3.0,1.0,2.0,2.0,3.5,726.0,189.5,22.5,2.0,2.0,0.0,448.0,544.0,256.0
9,52.394016666999995,13.037738333,246.5,2022-12-07T15:09:51.000Z,2.5306040048599243,2.816701412200928,2.991909503936768,17.157837867736813,19.99820709228516,20.176260948181152,20.198564529418945,20.20386505126953,3.5,6.0,8.0,715.5,230.5,34.0,6.5,3.0,1.0,3.0,3.5,4.5,754.5,196.5,22.5,2.0,2.0,0.0,448.0,416.0,256.0
