Date,atmotube_VOC[ppm],atmotube_AQS,atmotube_Temperature[˚C],atmotube_Humidity[%],atmotube_Pressure[hPa],atmotube_PM1[µg/m³],atmotube_PM2.5[µg/m³],atmotube_PM10[µg/m³],atmotube_Latitude,atmotube_Longitude
2022-11-01 16:58:00,0.117,90,13,90,1014.6,7.0,9.0,10.0,,
2022-11-01 16:57:00,0.114,90,13,90,1014.6,7.0,9.0,10.0,,
2022-11-01 16:56:00,0.117,91,13,90,1014.6,7.0,8.0,10.0,,
2022-11-01 16:55:00,0.119,84,13,90,1014.6,11.0,13.0,14.0,,
2022-11-01 16:54:00,0.126,91,13,89,1014.6,7.0,8.0,9.0,,
2022-11-01 16:53:00,0.128,91,13,89,1014.6,7.0,8.0,9.0,,
2022-11-01 16:52:00,0.132,91,13,89,1014.6,7.0,8.0,9.0,,
2022-11-01 16:51:00,0.137,90,13,89,1014.6,7.0,9.0,10.0,,
2022-11-01 16:50:00,0.130,90,13,89,1014.6,7.0,9.0,10.0,,
2022-11-01 16:49:00,0.132,90,13,90,1014.6,7.0,9.0,10.0,,
2022-11-01 16:48:00,0.127,90,13,90,1014.5,7.0,9.0,10.0,,
2022-11-01 16:47:00,0.126,90,13,89,1014.6,7.0,9.0,10.0,,
2022-11-01 16:46:00,0.133,91,13,90,1014.6,6.0,8.0,9.0,,
2022-11-01 16:45:00,0.126,90,13,90,1014.5,8.0,9.0,10.0,,
2022-11-01 16:44:00,0.122,91,14,85,1014.5,7.0,8.0,9.0,,
2022-11-01 16:43:00,0.121,92,14,85,1014.5,6.0,8.0,8.0,,
2022-11-01 16:42:00,0.114,92,14,85,1014.5,6.0,7.0,8.0,,
2022-11-01 16:41:00,0.113,91,13,90,1014.5,6.0,8.0,9.0,,
2022-11-01 16:40:00,0.112,92,13,90,1014.5,6.0,8.0,8.0,,
2022-11-01 16:39:00,0.113,91,13,90,1014.5,6.0,8.0,9.0,,
2022-11-01 16:38:00,0.121,91,13,90,1014.6,6.0,8.0,9.0,,
2022-11-01 16:37:00,0.118,91,13,90,1014.6,7.0,8.0,9.0,,
2022-11-01 16:36:00,0.119,91,13,90,1014.5,6.0,8.0,9.0,,
2022-11-01 16:35:00,0.123,92,13,90,1014.4,6.0,8.0,9.0,,
2022-11-01 16:34:00,0.130,91,13,90,1014.4,7.0,8.0,9.0,,
2022-11-01 16:33:00,0.137,91,13,90,1014.4,6.0,8.0,9.0,,
2022-11-01 16:32:00,0.142,91,13,90,1014.3,6.0,7.0,8.0,,
2022-11-01 16:31:00,0.141,91,13,90,1014.4,7.0,8.0,9.0,,
2022-11-01 16:30:00,0.140,90,14,85,1014.4,7.0,9.0,10.0,,
2022-11-01 16:29:00,0.142,90,14,85,1014.4,7.0,9.0,10.0,,
2022-11-01 16:28:00,0.136,90,14,85,1014.4,8.0,9.0,10.0,,
2022-11-01 16:27:00,0.145,90,14,85,1014.4,8.0,9.0,11.0,,
2022-11-01 16:26:00,0.140,91,14,84,1014.5,7.0,8.0,10.0,,
2022-11-01 16:25:00,0.144,91,14,85,1014.4,6.0,8.0,9.0,,
2022-11-01 16:24:00,0.156,90,14,85,1014.4,6.0,7.0,8.0,,
2022-11-01 16:23:00,0.170,89,14,86,1014.4,7.0,9.0,10.0,,
2022-11-01 16:22:00,0.185,88,14,86,1014.5,8.0,9.0,10.0,,
2022-11-01 16:21:00,0.186,88,14,86,1014.4,9.0,11.0,12.0,,
2022-11-01 16:20:00,0.192,88,14,86,1014.4,9.0,10.0,11.0,,
2022-11-01 16:19:00,0.186,88,14,86,1014.4,9.0,11.0,12.0,,
2022-11-01 16:18:00,0.189,88,15,81,1014.5,7.0,9.0,10.0,,
2022-11-01 16:17:00,0.192,88,15,81,1014.5,8.0,10.0,10.0,,
2022-11-01 16:16:00,0.191,88,15,81,1014.5,7.0,9.0,10.0,,
2022-11-01 16:15:00,0.196,88,14,86,1014.5,8.0,9.0,10.0,,
2022-11-01 16:14:00,0.194,88,14,86,1014.5,8.0,10.0,11.0,,
2022-11-01 16:13:00,0.200,88,14,86,1014.4,7.0,9.0,10.0,,
2022-11-01 16:12:00,0.210,87,14,86,1014.4,9.0,10.0,11.0,,
2022-11-01 16:11:00,0.218,86,14,87,1014.4,9.0,11.0,12.0,,
2022-11-01 16:10:00,0.231,84,15,81,1014.3,11.0,13.0,14.0,,
2022-11-01 16:09:00,0.219,84,14,86,1014.4,11.0,13.0,14.0,,
2022-11-01 16:08:00,0.220,84,14,86,1014.3,11.0,13.0,14.0,,
2022-11-01 16:07:00,0.228,84,14,86,1014.3,11.0,13.0,14.0,,
2022-11-01 16:06:00,0.233,84,14,86,1014.3,11.0,13.0,14.0,,
2022-11-01 16:05:00,0.227,84,14,87,1014.3,11.0,13.0,14.0,,
2022-11-01 16:04:00,0.240,85,14,86,1014.2,5.0,7.0,8.0,,
2022-11-01 16:03:00,0.251,84,13,90,1014.3,5.0,7.0,8.0,,
2022-11-01 16:02:00,0.260,84,14,86,1013.4,5.0,7.0,8.0,,
2022-11-01 16:01:00,0.266,84,14,85,1012.7,5.0,7.0,8.0,,
2022-11-01 16:00:00,0.278,83,14,85,1012.3,5.0,7.0,8.0,,
