Date,atmotube_VOC[ppm],atmotube_AQS,atmotube_Temperature[˚C],atmotube_Humidity[%],atmotube_Pressure[hPa],atmotube_PM1[µg/m³],atmotube_PM2.5[µg/m³],atmotube_PM10[µg/m³],atmotube_Latitude,atmotube_Longitude
2022-11-18 17:40:00,1.065,60,10,70,1007.1,8.0,9.0,10.0,,
2022-11-18 17:39:00,1.057,60,9,73,1007.1,8.0,10.0,11.0,,
2022-11-18 17:38:00,1.055,60,9,73,1007.1,9.0,11.0,12.0,,
2022-11-18 17:37:00,1.025,60,8,78,1007.1,9.0,10.0,11.0,,
2022-11-18 17:36:00,1.073,60,7,84,1007.1,9.0,11.0,12.0,,
2022-11-18 17:35:00,1.149,58,7,87,1007.1,9.0,11.0,12.0,,
2022-11-18 17:34:00,1.060,60,6,96,1007.2,8.0,10.0,11.0,,
2022-11-18 17:33:00,0.679,66,5,100,1007.1,9.0,11.0,12.0,,
2022-11-18 17:32:00,0.348,77,4,100,1007.1,17.0,20.0,20.0,,
2022-11-18 17:31:00,0.304,73,3,100,1007.2,21.0,24.0,25.0,,
2022-11-18 17:30:00,0.261,69,1,100,1007.1,26.0,29.0,31.0,,
2022-11-18 17:29:00,0.197,67,-1,100,1007.2,27.0,31.0,34.0,,
2022-11-18 17:28:00,0.122,63,-3,100,1007.1,32.0,36.0,38.0,,
2022-11-18 17:27:00,0.006,72,-4,98,1007.3,23.0,26.0,27.0,,
2022-11-18 17:26:00,0.047,57,-5,85,1007.6,38.0,46.0,54.0,,
2022-11-18 17:25:00,0.050,85,-5,84,1007.5,11.0,13.0,14.0,,
2022-11-18 17:24:00,0.053,79,-5,86,1007.1,15.0,17.0,18.0,,
2022-11-18 17:23:00,0.005,80,-4,80,1006.2,15.0,17.0,18.0,,
2022-11-18 17:22:00,0.022,79,-4,80,1006.5,15.0,17.0,19.0,,
2022-11-18 17:21:00,0.026,76,-4,83,1006.6,15.0,25.0,36.0,,
2022-11-18 17:20:00,0.030,42,-4,86,1007.0,36.0,75.0,120.0,,
2022-11-18 17:19:00,0.028,78,-4,83,1007.0,16.0,23.0,30.0,,
2022-11-18 17:18:00,0.026,56,-4,82,1007.6,39.0,51.0,63.0,,
2022-11-18 17:17:00,0.029,78,-4,80,1008.0,16.0,18.0,19.0,,
2022-11-18 17:16:00,0.025,79,-3,74,1008.0,15.0,17.0,18.0,,
2022-11-18 17:15:00,0.022,77,-3,74,1008.1,17.0,19.0,20.0,,
2022-11-18 17:14:00,0.022,80,-3,75,1008.1,14.0,16.0,17.0,,
2022-11-18 17:13:00,0.013,79,-3,74,1008.1,15.0,17.0,18.0,,
2022-11-18 17:12:00,0.007,82,-2,74,1008.0,13.0,15.0,16.0,,
2022-11-18 17:11:00,0.006,82,-3,79,1008.2,12.0,14.0,15.0,,
2022-11-18 17:10:00,0.099,82,-3,78,1008.1,12.0,15.0,16.0,,
2022-11-18 17:09:00,0.004,84,-3,75,1008.1,12.0,14.0,15.0,,
2022-11-18 17:08:00,0.003,84,-3,75,1008.1,11.0,14.0,15.0,,
2022-11-18 17:07:00,0.009,81,-3,76,1008.1,13.0,15.0,17.0,,
2022-11-18 17:06:00,0.009,82,-3,76,1008.1,13.0,15.0,16.0,,
2022-11-18 17:05:00,0.013,82,-3,76,1008.1,12.0,14.0,15.0,,
2022-11-18 17:04:00,0.018,79,-3,75,1008.1,15.0,17.0,18.0,,
2022-11-18 17:03:00,0.016,79,-3,75,1008.1,16.0,18.0,19.0,,
2022-11-18 17:02:00,0.019,81,-3,75,1008.0,14.0,16.0,17.0,,
2022-11-18 17:01:00,0.017,74,-3,76,1008.0,20.0,24.0,26.0,,
2022-11-18 17:00:00,0.014,80,-3,75,1008.0,15.0,18.0,20.0,,
2022-11-18 16:59:00,0.007,79,-3,77,1008.0,15.0,18.0,20.0,,
2022-11-18 16:58:00,0.013,78,-3,77,1007.9,17.0,20.0,21.0,,
2022-11-18 16:57:00,0.009,78,-3,78,1008.0,17.0,20.0,22.0,,
2022-11-18 16:56:00,0.008,76,-2,73,1008.0,19.0,22.0,24.0,,
2022-11-18 16:55:00,0.002,68,-2,72,1007.9,26.0,30.0,32.0,,
2022-11-18 16:54:00,0.000,80,-2,73,1007.9,14.0,17.0,18.0,,
2022-11-18 16:53:00,0.000,80,-2,73,1007.9,14.0,16.0,17.0,,
2022-11-18 16:52:00,0.000,81,-2,73,1008.0,13.0,15.0,16.0,,
2022-11-18 16:51:00,0.002,81,-2,72,1008.0,14.0,16.0,17.0,,
2022-11-18 16:50:00,0.000,81,-2,71,1007.9,14.0,15.0,17.0,,
2022-11-18 16:49:00,0.001,81,-2,70,1007.8,13.0,16.0,18.0,,
2022-11-18 16:48:00,0.003,81,-2,71,1007.8,13.0,15.0,16.0,,
2022-11-18 16:47:00,0.001,81,-1,67,1007.8,13.0,16.0,17.0,,
2022-11-18 16:46:00,0.000,81,-1,66,1007.8,13.0,16.0,16.0,,
2022-11-18 16:45:00,0.000,82,-1,65,1007.9,13.0,15.0,17.0,,
2022-11-18 16:44:00,0.000,84,-1,66,1007.8,11.0,13.0,14.0,,
2022-11-18 16:43:00,0.000,85,-1,66,1007.9,11.0,13.0,14.0,,
2022-11-18 16:42:00,0.008,82,-1,67,1007.8,12.0,15.0,15.0,,
2022-11-18 16:41:00,0.019,84,-1,67,1007.9,12.0,13.0,15.0,,
2022-11-18 16:40:00,0.031,84,-0,62,1007.9,11.0,13.0,14.0,,
2022-11-18 16:39:00,0.049,80,-0,63,1007.9,14.0,16.0,17.0,,
2022-11-18 16:38:00,0.051,78,0,63,1007.9,16.0,19.0,20.0,,
2022-11-18 16:37:00,0.050,77,0,63,1007.8,17.0,20.0,22.0,,
2022-11-18 16:36:00,0.058,80,0,63,1007.8,14.0,16.0,18.0,,
2022-11-18 16:35:00,0.065,78,1,59,1007.9,17.0,19.0,20.0,,
2022-11-18 16:34:00,0.072,81,1,58,1007.8,13.0,15.0,16.0,,
2022-11-18 16:33:00,0.089,80,1,58,1007.8,15.0,17.0,18.0,,
2022-11-18 16:32:00,0.068,79,1,59,1007.8,16.0,18.0,19.0,,
2022-11-18 16:31:00,0.049,78,1,59,1007.8,17.0,19.0,20.0,,
2022-11-18 16:30:00,0.056,81,1,60,1007.8,13.0,17.0,20.0,,
2022-11-18 16:29:00,0.067,78,1,65,1007.7,17.0,20.0,23.0,,
2022-11-18 16:28:00,0.042,92,1,61,1007.65,5.0,7.0,8.0,,
