Date,atmotube_VOC[ppm],atmotube_AQS,atmotube_Temperature[˚C],atmotube_Humidity[%],atmotube_Pressure[hPa],atmotube_PM1[µg/m³],atmotube_PM2.5[µg/m³],atmotube_PM10[µg/m³],atmotube_Latitude,atmotube_Longitude
2022-12-09 18:00:00,2.415,41,14,43,1004.4,9.0,11.0,12.0,,
2022-12-09 17:59:00,2.647,39,14,44,1004.5,9.0,10.0,12.0,,
2022-12-09 17:58:00,2.752,38,13,46,1004.5,8.0,10.0,11.0,,
2022-12-09 17:57:00,2.896,37,13,46,1004.5,8.0,10.0,11.0,,
2022-12-09 17:56:00,3.020,37,13,46,1004.5,10.0,12.0,13.0,,
2022-12-09 17:55:00,2.804,38,12,49,1004.6,10.0,11.0,13.0,,
2022-12-09 17:54:00,2.883,38,12,51,1004.5,9.0,11.0,12.0,,
2022-12-09 17:53:00,2.850,38,12,51,1004.6,9.0,10.0,11.0,,
2022-12-09 17:52:00,2.883,38,11,54,1004.6,10.0,11.0,12.0,,
2022-12-09 17:51:00,2.758,38,11,54,1004.6,9.0,11.0,12.0,,
2022-12-09 17:50:00,2.902,37,11,54,1004.7,10.0,12.0,13.0,,
2022-12-09 17:49:00,3.439,34,10,57,1004.6,10.0,12.0,13.0,,
2022-12-09 17:48:00,2.437,41,10,57,1004.6,10.0,13.0,14.0,,
2022-12-09 17:47:00,2.394,41,9,60,1004.6,10.0,12.0,13.0,,
2022-12-09 17:46:00,2.397,41,9,59,1004.6,10.0,12.0,13.0,,
2022-12-09 17:45:00,2.396,41,8,63,1004.6,10.0,12.0,13.0,,
2022-12-09 17:44:00,2.391,41,8,64,1004.6,9.0,11.0,13.0,,
2022-12-09 17:43:00,2.367,41,7,68,1004.6,10.0,12.0,14.0,,
2022-12-09 17:42:00,2.372,41,7,68,1004.6,11.0,13.0,14.0,,
2022-12-09 17:41:00,2.410,41,6,74,1004.6,11.0,13.0,15.0,,
2022-12-09 17:40:00,2.588,40,6,78,1004.6,12.0,14.0,16.0,,
2022-12-09 17:39:00,2.404,41,5,87,1004.7,11.0,13.0,15.0,,
2022-12-09 17:38:00,2.784,38,4,90,1004.7,11.0,13.0,14.0,,
2022-12-09 17:37:00,4.134,29,3,90,1004.7,12.0,15.0,16.0,,
2022-12-09 17:36:00,5.208,22,1,99,1005.2,15.0,17.0,19.0,,
2022-12-09 17:35:00,4.625,26,-98,100,1005.4,19.0,22.0,24.0,,
2022-12-09 17:34:00,1.646,50,-1,100,1005.4,20.0,23.0,25.0,,
2022-12-09 17:33:00,0.813,64,-2,100,1005.3,19.0,24.0,29.0,,
2022-12-09 17:32:00,0.212,28,-3,94,1005.4,43.0,100.0,168.0,,
2022-12-09 17:31:00,0.220,63,-3,91,1005.4,31.0,37.0,42.0,,
2022-12-09 17:30:00,0.225,78,-3,90,1005.5,17.0,22.0,26.0,,
2022-12-09 17:29:00,0.240,67,-3,90,1005.4,27.0,32.0,35.0,,
2022-12-09 17:28:00,0.260,72,-2,84,1005.5,23.0,27.0,29.0,,
2022-12-09 17:27:00,0.278,78,-2,85,1005.6,16.0,19.0,21.0,,
2022-12-09 17:26:00,0.310,67,-2,84,1005.7,27.0,30.0,32.0,,
2022-12-09 17:25:00,0.341,66,0,73,1005.3,29.0,33.0,37.0,,
2022-12-09 17:24:00,0.408,73,2,65,1005.3,21.0,25.0,27.0,,
2022-12-09 17:23:00,0.638,66,5,57,1005.2,29.0,33.0,37.0,,
2022-12-09 17:22:00,0.992,61,5,66,1005.1,22.0,25.0,27.0,,
2022-12-09 17:21:00,0.372,77,4,73,1004.6,11.0,13.0,15.0,,
2022-12-09 17:20:00,0.329,79,4,68,1005.3,16.0,19.0,21.0,,
2022-12-09 17:19:00,0.271,77,3,76,1004.6,18.0,21.0,23.0,,
2022-12-09 17:18:00,0.247,84,2,93,1005.6,11.0,13.0,15.0,,
2022-12-09 17:17:00,0.208,82,0,100,1005.3,12.0,15.0,17.0,,
