Date,atmotube_VOC[ppm],atmotube_AQS,atmotube_Temperature[˚C],atmotube_Humidity[%],atmotube_Pressure[hPa],atmotube_PM1[µg/m³],atmotube_PM2.5[µg/m³],atmotube_PM10[µg/m³],atmotube_Latitude,atmotube_Longitude
2022-11-11 18:00:00,0.141,91,7,87,1026.0,4.0,6.0,7.0,,
2022-11-11 17:59:00,0.157,90,7,86,1026.4,4.0,6.0,7.0,,
2022-11-11 17:58:00,0.160,90,7,87,1026.7,4.0,6.0,7.0,,
2022-11-11 17:57:00,0.158,90,7,87,1026.9,4.0,6.0,7.0,,
2022-11-11 17:56:00,0.148,91,6,92,1027.0,4.0,6.0,7.0,,
2022-11-11 17:55:00,0.155,90,6,92,1027.7,4.0,6.0,7.0,,
2022-11-11 17:54:00,0.170,89,7,87,1028.0,4.0,6.0,7.0,,
2022-11-11 17:53:00,0.183,89,7,87,1028.0,4.0,6.0,7.0,,
2022-11-11 17:52:00,0.187,88,7,87,1028.1,4.0,6.0,7.0,,
2022-11-11 17:51:00,0.190,88,8,83,1028.0,4.0,6.0,7.0,,
2022-11-11 17:50:00,0.204,87,8,83,1028.1,4.0,6.0,7.0,,
2022-11-11 17:49:00,0.166,90,8,85,1028.0,4.0,6.0,7.0,,
2022-11-11 17:48:00,0.148,91,8,87,1028.1,4.0,6.0,7.0,,
2022-11-11 17:47:00,0.139,91,7,91,1028.0,4.0,6.0,7.0,,
2022-11-11 17:46:00,0.130,91,7,88,1028.0,6.0,8.0,9.0,,
2022-11-11 17:45:00,0.133,90,7,88,1028.1,7.0,9.0,10.0,,
2022-11-11 17:44:00,0.135,90,7,87,1028.0,7.0,9.0,10.0,,
2022-11-11 17:43:00,0.134,90,7,87,1028.1,7.0,9.0,10.0,,
2022-11-11 17:42:00,0.142,91,7,87,1028.1,3.0,5.0,6.0,,
2022-11-11 17:41:00,0.155,90,7,87,1028.1,4.0,6.0,7.0,,
2022-11-11 17:40:00,0.172,89,7,87,1028.0,4.0,5.0,6.0,,
2022-11-11 17:39:00,0.198,88,7,88,1028.0,4.0,5.0,6.0,,
2022-11-11 17:38:00,0.165,90,7,88,1028.0,4.0,5.0,6.0,,
2022-11-11 17:37:00,0.109,93,7,88,1028.0,3.0,5.0,6.0,,
2022-11-11 17:36:00,0.108,93,7,89,1028.0,3.0,5.0,6.0,,
2022-11-11 17:35:00,0.110,93,7,89,1028.0,4.0,5.0,6.0,,
2022-11-11 17:34:00,0.107,93,7,88,1028.0,3.0,5.0,6.0,,
2022-11-11 17:33:00,0.105,93,8,84,1028.0,3.0,4.0,5.0,,
2022-11-11 17:32:00,0.109,93,8,83,1027.9,4.0,6.0,7.0,,
2022-11-11 17:31:00,0.108,93,8,83,1027.9,4.0,6.0,7.0,,
2022-11-11 17:30:00,0.102,91,8,83,1027.9,6.0,8.0,9.0,,
2022-11-11 17:29:00,0.103,91,7,87,1028.0,6.0,8.0,9.0,,
2022-11-11 17:28:00,0.106,93,7,88,1028.0,4.0,5.0,7.0,,
2022-11-11 17:27:00,0.109,93,7,88,1028.0,3.0,5.0,6.0,,
2022-11-11 17:26:00,0.112,93,7,88,1028.2,3.0,5.0,5.0,,
2022-11-11 17:25:00,0.116,93,7,89,1028.0,3.0,4.0,6.0,,
2022-11-11 17:24:00,0.117,92,7,88,1027.9,3.0,4.0,5.0,,
2022-11-11 17:23:00,0.120,92,7,89,1027.9,3.0,5.0,6.0,,
2022-11-11 17:22:00,0.128,92,7,90,1027.9,3.0,4.0,5.0,,
2022-11-11 17:21:00,0.126,92,7,89,1027.9,3.0,4.0,5.0,,
2022-11-11 17:20:00,0.130,92,7,89,1027.9,3.0,5.0,6.0,,
2022-11-11 17:19:00,0.134,91,7,89,1027.9,3.0,4.0,5.0,,
2022-11-11 17:18:00,0.136,91,7,88,1027.9,3.0,4.0,6.0,,
2022-11-11 17:17:00,0.135,91,7,88,1027.9,3.0,5.0,6.0,,
2022-11-11 17:16:00,0.139,91,7,88,1028.0,3.0,4.0,5.0,,
2022-11-11 17:15:00,0.148,91,7,88,1028.0,3.0,4.0,5.0,,
2022-11-11 17:14:00,0.156,90,7,88,1028.1,3.0,4.0,5.0,,
2022-11-11 17:13:00,0.161,90,7,88,1028.1,4.0,6.0,6.0,,
2022-11-11 17:12:00,0.170,89,7,88,1028.1,5.0,7.0,8.0,,
2022-11-11 17:11:00,0.161,90,7,88,1028.0,3.0,5.0,5.0,,
2022-11-11 17:10:00,0.166,90,7,87,1028.0,4.0,5.0,6.0,,
2022-11-11 17:09:00,0.171,89,7,87,1028.0,5.0,7.0,8.0,,
2022-11-11 17:08:00,0.175,89,7,87,1028.0,6.0,8.0,8.0,,
2022-11-11 17:07:00,0.175,87,7,87,1028.0,9.0,11.0,12.0,,
2022-11-11 17:06:00,0.170,89,7,87,1028.0,5.0,6.0,7.0,,
2022-11-11 17:05:00,0.172,89,7,86,1028.0,4.0,6.0,7.0,,
2022-11-11 17:04:00,0.177,89,7,86,1028.0,5.0,6.0,7.0,,
2022-11-11 17:03:00,0.179,89,7,87,1027.9,4.0,5.0,6.0,,
2022-11-11 17:02:00,0.184,88,7,87,1028.0,3.0,4.0,5.0,,
2022-11-11 17:01:00,0.193,88,7,88,1027.9,3.0,5.0,6.0,,
2022-11-11 17:00:00,0.213,87,7,90,1027.97,3.0,4.0,5.0,,
2022-11-11 16:59:00,0.679,66,6,99,1027.99,3.0,4.0,5.0,,
2022-11-11 16:58:00,0.704,66,6,95,1028.01,3.0,4.0,5.0,,
2022-11-11 16:57:00,0.730,66,6,95,1027.95,3.0,4.0,5.0,,
2022-11-11 16:56:00,0.757,65,6,92,1027.9,4.0,5.0,6.0,,
2022-11-11 16:55:00,0.786,65,5,97,1027.87,3.0,5.0,6.0,,
2022-11-11 16:54:00,0.816,64,5,97,1027.87,4.0,6.0,7.0,,
2022-11-11 16:53:00,0.847,63,5,96,1027.82,4.0,6.0,7.0,,
2022-11-11 16:52:00,0.879,63,5,96,1027.83,4.0,5.0,6.0,,
2022-11-11 16:51:00,0.913,62,5,90,1027.11,3.0,5.0,6.0,,
2022-11-11 16:50:00,0.947,62,6,87,1026.37,3.0,4.0,5.0,,
2022-11-11 16:49:00,0.982,61,7,83,1025.94,3.0,4.0,5.0,,
2022-11-11 16:48:00,1.018,61,8,78,1025.95,3.0,4.0,5.0,,
2022-11-11 16:47:00,1.054,60,9,73,1026.59,3.0,5.0,6.0,,
2022-11-11 16:46:00,1.089,59,,,1026.93,2.0,3.0,4.0,,
2022-11-11 16:45:00,1.115,59,,,1027.16,1.0,3.0,4.0,,
2022-11-11 16:44:00,1.135,58,,,1027.03,2.0,3.0,4.0,,
2022-11-11 16:43:00,1.144,58,,,1026.75,1.0,3.0,4.0,,
2022-11-11 16:42:00,1.147,58,,,1026.76,1.0,2.0,3.0,,
2022-11-11 16:41:00,1.149,58,,,1026.77,1.0,2.0,4.0,,
2022-11-11 16:40:00,1.149,58,,,1026.74,1.0,2.0,3.0,,
2022-11-11 16:39:00,1.152,58,,,1026.72,1.0,2.0,3.0,,
2022-11-11 16:38:00,1.157,58,,,1026.69,1.0,2.0,3.0,,
2022-11-11 16:37:00,1.163,58,,,1026.72,1.0,2.0,3.0,,
2022-11-11 16:36:00,1.169,58,,,1026.72,1.0,2.0,3.0,,
2022-11-11 16:35:00,1.176,58,,,1026.69,1.0,2.0,3.0,,
2022-11-11 16:34:00,1.182,58,,,1026.66,1.0,2.0,3.0,,
2022-11-11 16:33:00,1.189,58,,,1026.67,1.0,2.0,4.0,,
2022-11-11 16:32:00,1.196,57,,,1026.65,1.0,2.0,3.0,,
2022-11-11 16:31:00,1.202,57,,,1026.61,1.0,3.0,3.0,,
2022-11-11 16:30:00,1.207,57,,,1026.59,1.0,2.0,3.0,,
2022-11-11 16:29:00,1.212,57,,,1026.58,1.0,2.0,3.0,,
2022-11-11 16:28:00,1.216,57,,,1026.58,1.0,2.0,3.0,,
2022-11-11 16:27:00,1.221,57,,,1026.57,1.0,2.0,3.0,,
2022-11-11 16:26:00,1.227,57,,,1026.57,1.0,2.0,3.0,,
2022-11-11 16:25:00,1.233,57,,,1026.59,1.0,2.0,3.0,,
