LogID,lat,lon,alt,time,SPS_PM1,SPS_PM2.5,SPS_PM10,SPS_nc0.5,SPS_nc1,SPS_nc2.5,SPS_nc4,SPS_nc10,5003_PM1,5003_PM2.5,5003_PM10,5003_nc0.3,5003_nc0.5,5003_nc1,5003_nc2.5,5003_nc5,5003_nc10,7003_PM1,7003_PM2.5,7003_PM10,7003_nc0.3,7003_nc0.5,7003_nc1,7003_nc2.5,7003_nc5,7003_nc10,Temperature,Relative_Humidity,Pressure,CO,NH3,NO2
0,n/a,n/a,n/a,n/a,4.4771888256073,5.314404249191284,6.036670207977295,29.488271713256836,35.00094985961914,35.64889335632324,35.73087501525879,35.74600601196289,10.0,15.0,15.0,1656.0,533.0,94.0,2.0,0.0,0.0,9.0,12.5,14.0,1693.5,487.0,96.0,6.0,2.0,0.0,20.924824218749997,67.41122658092046,1014.3835148880383,896.0,992.0,352.0
1,n/a,n/a,n/a,n/a,4.8424694538116455,5.120727300643921,5.120727300643921,33.538198471069336,38.5770263671875,38.647003173828125,38.65510559082031,38.66057205200195,10.5,15.0,15.5,1699.5,545.5,95.0,3.0,0.5,0.5,9.0,13.0,15.5,1777.5,512.0,94.0,8.0,4.0,0.0,20.9485546875,67.10629110803143,1014.3694769608383,960.0,896.0,320.0
2,n/a,n/a,n/a,n/a,7.504411220550537,7.93562912940979,7.93562912940979,51.974395751953125,59.78310585021973,59.891550064086914,59.90410614013672,59.91257667541504,11.0,15.0,16.0,1743.0,558.0,96.0,4.0,1.0,1.0,9.0,12.0,13.5,1926.0,528.0,86.5,5.0,1.0,0.0,20.85958984375,67.77995036916391,1014.3723069422699,992.0,1152.0,320.0
3,52.394886667,13.040508333,42.3,2022-11-01T15:12:27.000Z,7.88436222076416,8.33741283416748,8.33741283416748,54.60587692260742,62.809946060180664,62.92388153076172,62.93707275390625,62.94597244262695,11.0,15.0,16.0,1797.0,574.0,92.0,4.0,1.0,1.0,10.0,13.0,14.0,2085.0,562.5,101.5,4.0,0.0,0.0,20.82169921875,67.63442153058719,1014.3555165986535,1024.0,1088.0,352.0
4,52.394886667,13.040508333,42.3,2022-11-01T15:12:27.000Z,9.209714412689209,9.740112781524658,9.741596698760986,63.78193664550781,73.36685180664062,73.50114059448242,73.51669692993164,73.52711868286133,11.0,15.0,16.5,1834.5,584.5,89.0,4.5,1.5,1.5,12.0,20.0,20.0,2149.5,624.0,142.5,10.0,0.0,0.0,20.61740234375,70.72183949639401,1014.3639834753931,768.0,896.0,192.0
5,52.394895,13.040508333,42.3,2022-11-01T15:12:30.000Z,9.168058395385742,9.695425033569336,9.696113109588623,63.49510192871094,73.0357437133789,73.16878890991211,73.1841926574707,73.19454956054688,11.0,15.0,17.0,1872.0,595.0,86.0,5.0,2.0,2.0,11.5,17.5,17.5,2052.0,598.0,121.5,6.0,0.0,0.0,20.49611328125,70.30517270015363,1014.3690751140464,928.0,864.0,224.0
6,52.394895,13.040508333,42.2,2022-11-01T15:12:34.000Z,9.080752849578857,9.60279655456543,9.60310411453247,62.891244888305664,72.34058380126953,72.47205352783203,72.48727798461914,72.49753189086914,11.0,15.0,17.0,1830.0,581.0,82.0,5.0,2.0,2.0,12.0,16.5,17.0,2044.5,595.0,116.0,5.0,1.0,0.0,20.42619140625,69.88070743321343,1014.3786300264062,864.0,928.0,384.0
7,52.394895,13.040508333,42.2,2022-11-01T15:12:38.000Z,9.174734115600586,9.702048778533936,9.702191829681396,63.54248237609863,73.08942413330078,73.22212600708008,73.23748397827148,73.24784469604492,11.0,15.0,17.0,1830.0,580.0,83.0,4.5,2.0,2.0,11.5,16.0,17.0,2106.0,602.5,116.0,6.0,2.0,0.0,20.36369140625,69.76676119622158,1014.3835442269269,864.0,928.0,288.0
8,52.394915,13.040485,42.2,2022-11-01T15:12:42.000Z,9.236695766448975,9.767500400543213,9.767561435699463,63.97180366516113,73.58311462402344,73.71664047241211,73.73209762573242,73.74252700805664,11.0,15.0,17.0,1830.0,579.0,84.0,4.0,2.0,2.0,11.0,15.5,16.5,2118.0,606.5,111.5,4.0,2.0,0.0,20.297578125,69.77980183926246,1014.3808232838571,896.0,928.0,320.0
9,52.394926667,13.040466667,42.2,2022-11-01T15:12:45.000Z,9.225627422332764,9.755773067474365,9.755802631378174,63.89520454406738,73.49496078491211,73.62831115722656,73.64374160766602,73.65415954589844,11.0,15.0,17.0,1860.0,588.0,92.0,4.0,2.0,2.0,12.5,18.0,19.0,2215.5,619.5,127.5,4.0,2.0,0.0,20.21564453125,69.74002807213893,1014.3722569029258,928.0,896.0,320.0
