Date,atmotube_VOC[ppm],atmotube_AQS,atmotube_Temperature[˚C],atmotube_Humidity[%],atmotube_Pressure[hPa],atmotube_PM1[µg/m³],atmotube_PM2.5[µg/m³],atmotube_PM10[µg/m³],atmotube_Latitude,atmotube_Longitude
2022-11-10 18:00:00,0.153,90,7,88,1022.6,4.0,6.0,7.0,,
2022-11-10 17:59:00,0.161,90,8,84,1021.7,3.0,5.0,6.0,,
2022-11-10 17:58:00,0.165,90,7,88,1022.1,4.0,6.0,7.0,,
2022-11-10 17:57:00,0.182,89,8,83,1022.3,4.0,6.0,7.0,,
2022-11-10 17:56:00,0.185,88,8,84,1022.6,4.0,5.0,6.0,,
2022-11-10 17:55:00,0.192,88,8,84,1023.3,4.0,6.0,7.0,,
2022-11-10 17:54:00,0.196,88,9,79,1023.7,4.0,6.0,7.0,,
2022-11-10 17:53:00,0.192,88,9,79,1023.6,4.0,5.0,6.0,,
2022-11-10 17:52:00,0.189,88,9,79,1023.7,4.0,6.0,7.0,,
2022-11-10 17:51:00,0.194,88,9,81,1023.7,3.0,4.0,6.0,,
2022-11-10 17:50:00,0.191,88,9,81,1023.6,5.0,7.0,8.0,,
2022-11-10 17:49:00,0.181,89,10,76,1023.6,4.0,6.0,7.0,,
2022-11-10 17:48:00,0.172,89,9,81,1023.7,4.0,5.0,6.0,,
2022-11-10 17:47:00,0.166,90,9,80,1023.8,5.0,7.0,8.0,,
2022-11-10 17:46:00,0.165,90,9,79,1023.7,3.0,4.0,6.0,,
2022-11-10 17:45:00,0.172,89,9,80,1023.8,3.0,4.0,6.0,,
2022-11-10 17:44:00,0.172,89,9,80,1023.7,4.0,6.0,7.0,,
2022-11-10 17:43:00,0.177,84,9,80,1023.7,11.0,13.0,15.0,,
2022-11-10 17:42:00,0.179,89,9,80,1023.6,3.0,4.0,5.0,,
2022-11-10 17:41:00,0.186,88,9,80,1023.6,3.0,5.0,6.0,,
2022-11-10 17:40:00,0.187,88,9,80,1023.5,3.0,5.0,6.0,,
2022-11-10 17:39:00,0.190,88,9,81,1023.6,3.0,5.0,6.0,,
2022-11-10 17:38:00,0.192,88,9,81,1023.4,3.0,5.0,5.0,,
2022-11-10 17:37:00,0.189,88,9,81,1023.5,3.0,4.0,6.0,,
2022-11-10 17:36:00,0.188,88,9,81,1023.5,3.0,5.0,6.0,,
2022-11-10 17:35:00,0.188,88,9,81,1023.4,3.0,5.0,6.0,,
2022-11-10 17:34:00,0.191,88,9,81,1023.3,3.0,5.0,6.0,,
2022-11-10 17:33:00,0.187,88,9,81,1023.3,4.0,6.0,6.0,,
2022-11-10 17:32:00,0.188,88,9,79,1023.4,3.0,5.0,6.0,,
2022-11-10 17:31:00,0.184,88,9,79,1023.3,4.0,5.0,6.0,,
2022-11-10 17:30:00,0.189,88,9,79,1023.2,3.0,5.0,6.0,,
2022-11-10 17:29:00,0.190,88,9,79,1023.2,2.0,4.0,5.0,,
2022-11-10 17:28:00,0.190,88,9,79,1023.2,3.0,4.0,6.0,,
2022-11-10 17:27:00,0.192,88,9,79,1023.2,3.0,4.0,5.0,,
2022-11-10 17:26:00,0.203,87,9,80,1023.3,2.0,4.0,5.0,,
2022-11-10 17:25:00,0.207,87,9,80,1023.4,3.0,5.0,6.0,,
2022-11-10 17:24:00,0.213,87,9,80,1023.4,3.0,4.0,5.0,,
2022-11-10 17:23:00,0.217,86,9,80,1023.2,3.0,4.0,6.0,,
2022-11-10 17:22:00,0.234,85,9,81,1023.2,3.0,5.0,5.0,,
2022-11-10 17:21:00,0.237,85,9,81,1023.1,3.0,5.0,6.0,,
2022-11-10 17:20:00,0.238,85,9,83,1023.0,3.0,4.0,5.0,,
2022-11-10 17:19:00,0.236,85,9,83,1023.1,3.0,4.0,5.0,,
2022-11-10 17:18:00,0.227,86,9,82,1023.1,3.0,4.0,5.0,,
2022-11-10 17:17:00,0.223,86,9,82,1023.1,3.0,5.0,6.0,,
2022-11-10 17:16:00,0.207,87,9,81,1023.1,2.0,4.0,5.0,,
2022-11-10 17:15:00,0.204,87,9,81,1023.1,3.0,4.0,5.0,,
2022-11-10 17:14:00,0.198,88,10,75,1023.1,5.0,6.0,8.0,,
2022-11-10 17:13:00,0.207,87,10,75,1023.1,2.0,4.0,5.0,,
2022-11-10 17:12:00,0.216,87,10,75,1023.2,3.0,4.0,5.0,,
2022-11-10 17:11:00,0.226,86,10,75,1023.2,3.0,4.0,6.0,,
2022-11-10 17:10:00,0.235,85,10,75,1023.1,8.0,10.0,12.0,,
2022-11-10 17:09:00,0.246,85,10,75,1023.1,3.0,5.0,6.0,,
2022-11-10 17:08:00,0.238,85,10,75,1023.2,3.0,4.0,5.0,,
2022-11-10 17:07:00,0.241,85,10,75,1023.2,3.0,5.0,6.0,,
2022-11-10 17:06:00,0.235,85,10,74,1023.1,3.0,5.0,6.0,,
2022-11-10 17:05:00,0.239,85,10,74,1023.2,4.0,5.0,6.0,,
2022-11-10 17:04:00,0.238,85,10,74,1023.2,3.0,5.0,6.0,,
2022-11-10 17:03:00,0.241,85,10,74,1023.2,3.0,4.0,5.0,,
2022-11-10 17:02:00,0.247,85,10,74,1023.2,4.0,5.0,6.0,,
2022-11-10 17:01:00,0.246,85,10,74,1023.2,3.0,4.0,5.0,,
2022-11-10 17:00:00,0.261,84,10,74,1023.2,3.0,5.0,6.0,,
2022-11-10 16:59:00,0.280,83,10,74,1023.2,3.0,4.0,5.0,,
2022-11-10 16:58:00,0.314,81,10,76,1023.2,4.0,5.0,7.0,,
2022-11-10 16:57:00,0.304,81,10,78,1023.28,1.0,3.0,4.0,,
2022-11-10 16:56:00,1.432,53,10,77,1023.29,3.0,5.0,6.0,,
2022-11-10 16:55:00,1.493,52,10,76,1023.36,2.0,4.0,6.0,,
2022-11-10 16:54:00,1.557,51,9,75,1023.32,2.0,4.0,6.0,,
2022-11-10 16:53:00,1.624,50,9,74,1023.33,2.0,4.0,6.0,,
2022-11-10 16:52:00,1.694,49,,,1023.29,2.0,4.0,6.0,,
2022-11-10 16:51:00,1.767,48,,,1023.33,2.0,4.0,6.0,,
2022-11-10 16:50:00,1.844,46,,,1023.3,2.0,4.0,6.0,,
2022-11-10 16:49:00,1.925,45,,,1023.25,2.0,4.0,6.0,,
2022-11-10 16:48:00,2.010,43,,,1022.38,2.0,4.0,6.0,,
