LogID,lat,lon,alt,time
144,52.389735,13.037985,29.7,2023-01-20T15:29:04.000Z
145,52.389723333,13.03799,29.6,2023-01-20T15:29:05.000Z
146,52.389723333,13.03799,29.6,2023-01-20T15:29:05.000Z
147,52.389713333,13.038066667,28.6,2023-01-20T15:29:10.000Z
148,52.389716667,13.038103333,28.9,2023-01-20T15:29:12.000Z
149,52.389713333,13.038118333,29.0,2023-01-20T15:29:13.000Z
150,52.3897,13.038165,27.9,2023-01-20T15:29:16.000Z
151,52.389691667,13.038198333,26.9,2023-01-20T15:29:18.000Z
152,52.38968,13.038235,26.3,2023-01-20T15:29:20.000Z
153,52.389666667,13.038266667,26.6,2023-01-20T15:29:22.000Z
154,52.389655,13.038315,26.6,2023-01-20T15:29:24.000Z
155,52.389645,13.038346667,26.5,2023-01-20T15:29:26.000Z
156,52.389645,13.038346667,26.5,2023-01-20T15:29:26.000Z
157,52.389625,13.038408333,27.7,2023-01-20T15:29:30.000Z
158,52.389618333,13.03845,28.5,2023-01-20T15:29:32.000Z
159,52.389618333,13.03845,28.5,2023-01-20T15:29:32.000Z
160,52.389595,13.038535,28.8,2023-01-20T15:29:37.000Z
161,52.389596667,13.038555,28.8,2023-01-20T15:29:38.000Z
162,52.389596667,13.038555,28.8,2023-01-20T15:29:38.000Z
163,52.389585,13.038636667,28.5,2023-01-20T15:29:43.000Z
164,52.389588333,13.038673333,25.6,2023-01-20T15:29:45.000Z
165,52.389588333,13.038673333,25.6,2023-01-20T15:29:45.000Z
166,52.38954,13.038725,25.7,2023-01-20T15:29:49.000Z
167,52.38952,13.03876,25.5,2023-01-20T15:29:51.000Z
168,52.389498333,13.038788333,24.7,2023-01-20T15:29:53.000Z
169,52.389485,13.038813333,24.1,2023-01-20T15:29:55.000Z
170,52.389466667,13.038841667,23.9,2023-01-20T15:29:57.000Z
171,52.389446667,13.03887,24.1,2023-01-20T15:29:59.000Z
172,52.389446667,13.03887,24.1,2023-01-20T15:29:59.000Z
173,52.389406667,13.038923333,26.4,2023-01-20T15:30:03.000Z
174,52.389383333,13.038951667,26.6,2023-01-20T15:30:05.000Z
175,52.389383333,13.038951667,26.6,2023-01-20T15:30:05.000Z
176,52.389356667,13.039008333,26.5,2023-01-20T15:30:09.000Z
177,52.389345,13.03904,26.7,2023-01-20T15:30:11.000Z
178,52.389345,13.03904,26.7,2023-01-20T15:30:11.000Z
179,52.389341667,13.03915,27.5,2023-01-20T15:30:16.000Z
180,52.38935,13.039173333,27.0,2023-01-20T15:30:17.000Z
181,52.38935,13.039173333,27.0,2023-01-20T15:30:17.000Z
182,52.389373333,13.039281667,26.0,2023-01-20T15:30:22.000Z
183,52.389378333,13.039328333,26.3,2023-01-20T15:30:24.000Z
184,52.389383333,13.039351667,26.5,2023-01-20T15:30:25.000Z
185,52.389393333,13.039405,27.0,2023-01-20T15:30:28.000Z
186,52.389405,13.03944,27.5,2023-01-20T15:30:30.000Z
187,52.389406667,13.03948,27.7,2023-01-20T15:30:32.000Z
188,52.389415,13.039515,28.4,2023-01-20T15:30:34.000Z
189,52.389423333,13.039551667,28.1,2023-01-20T15:30:36.000Z
190,52.389435,13.039593333,27.5,2023-01-20T15:30:38.000Z
191,52.389435,13.039593333,27.5,2023-01-20T15:30:38.000Z
192,52.389446667,13.039675,27.0,2023-01-20T15:30:42.000Z
193,52.389458333,13.03971,26.5,2023-01-20T15:30:44.000Z
194,52.389458333,13.03971,26.5,2023-01-20T15:30:44.000Z
195,52.389493333,13.039763333,26.8,2023-01-20T15:30:48.000Z
196,52.389505,13.039783333,26.6,2023-01-20T15:30:50.000Z
197,52.389505,13.039783333,26.6,2023-01-20T15:30:50.000Z
198,52.389551667,13.039811667,27.4,2023-01-20T15:30:55.000Z
199,52.389566667,13.039816667,27.0,2023-01-20T15:30:56.000Z
200,52.389566667,13.039816667,27.0,2023-01-20T15:30:56.000Z
201,52.389615,13.03986,29.2,2023-01-20T15:31:01.000Z
202,52.38963,13.039886667,29.3,2023-01-20T15:31:03.000Z
203,52.38964,13.039893333,30.0,2023-01-20T15:31:04.000Z
204,52.38967,13.039915,30.1,2023-01-20T15:31:07.000Z
205,52.38969,13.039928333,29.6,2023-01-20T15:31:09.000Z
206,52.389713333,13.039938333,29.5,2023-01-20T15:31:11.000Z
207,52.389725,13.039963333,31.7,2023-01-20T15:31:13.000Z
208,52.389743333,13.039981667,30.9,2023-01-20T15:31:15.000Z
209,52.389748333,13.040001667,29.8,2023-01-20T15:31:17.000Z
210,52.389748333,13.040001667,29.8,2023-01-20T15:31:17.000Z
211,52.38976,13.040075,31.2,2023-01-20T15:31:21.000Z
212,52.389773333,13.0401,31.1,2023-01-20T15:31:23.000Z
213,52.389773333,13.0401,31.1,2023-01-20T15:31:23.000Z
214,52.389813333,13.040138333,32.8,2023-01-20T15:31:28.000Z
215,52.389816667,13.040136667,34.1,2023-01-20T15:31:29.000Z
216,52.389816667,13.040136667,34.1,2023-01-20T15:31:29.000Z
217,52.389853333,13.040135,36.4,2023-01-20T15:31:34.000Z
218,52.389873333,13.04014,38.3,2023-01-20T15:31:36.000Z
219,52.389873333,13.04014,38.3,2023-01-20T15:31:36.000Z
220,52.389915,13.040171667,40.4,2023-01-20T15:31:40.000Z
221,52.389933333,13.040198333,40.0,2023-01-20T15:31:42.000Z
222,52.389945,13.040191667,40.1,2023-01-20T15:31:43.000Z
223,52.389978333,13.040205,36.8,2023-01-20T15:31:46.000Z
224,52.39003,13.040258333,35.5,2023-01-20T15:31:48.000Z
225,52.390065,13.04029,35.0,2023-01-20T15:31:50.000Z
226,52.390088333,13.040313333,34.6,2023-01-20T15:31:52.000Z
227,52.390108333,13.040331667,33.0,2023-01-20T15:31:54.000Z
228,52.390125,13.040343333,33.5,2023-01-20T15:31:56.000Z
229,52.390125,13.040343333,33.5,2023-01-20T15:31:56.000Z
230,52.390178333,13.040361667,35.3,2023-01-20T15:32:00.000Z
231,52.3902,13.040391667,35.9,2023-01-20T15:32:02.000Z
232,52.3902,13.040391667,35.9,2023-01-20T15:32:02.000Z
233,52.390235,13.040445,33.8,2023-01-20T15:32:07.000Z
234,52.390248333,13.040461667,34.1,2023-01-20T15:32:09.000Z
